Tipo,Máximo,Media,Desviación típica,Celdas > 10 (abs),Celdas > 50% (rel)
Absoluta,3283.0,5.971821,57.50711,5046.0,
Relativa (%),5590000000.0,6018836.0,89414170.0,,4874.0
