Tipo,Máximo,Media,Desviación típica,Celdas > 10 (abs),Celdas > 50% (rel)
Absoluta,700.0,-5.8829937,61.905304,32.0,
Relativa (%),40000000.0,613.30835,157133.66,,10.0
