Tipo,Máximo,Media,Desviación típica,Celdas > 10 (abs),Celdas > 50% (rel)
Absoluta,3314.0,4.5329013,61.039894,2544.0,
Relativa (%),23410000000.0,22833494.0,345900450.0,,3026.0
