,fa_threshold,turning_angle,track_voxel_ratio,n_tractos_reales,media_conectividad,desviacion_tipica,n_conexiones,coef_variacion,densidad_relativa
fa_threshold,1.0,0.10708745873158569,0.08372990336158614,-0.8963131505092896,-0.8659537802486619,-0.8635017721886132,-0.9387849434835367,0.9814593237262421,-0.9387849434835369
turning_angle,0.10708745873158569,1.0,0.24458397627752376,0.0234904311959506,0.1134121003375774,0.1621676832129475,0.002611347529215598,0.0873783120604256,0.00261134752921578
track_voxel_ratio,0.08372990336158614,0.24458397627752376,1.0,0.3117512752852631,0.14545740021043504,0.26903490816639536,-0.060458251529432044,0.06933190775295707,-0.060458251529431885
n_tractos_reales,-0.8963131505092896,0.0234904311959506,0.3117512752852631,1.0,0.9482436260135384,0.9776514781934443,0.9057488722360237,-0.8619145026553703,0.905748872236024
media_conectividad,-0.8659537802486619,0.1134121003375774,0.14545740021043504,0.9482436260135384,1.0,0.9858868964242347,0.9597331913058169,-0.8019197391297133,0.9597331913058166
desviacion_tipica,-0.8635017721886132,0.1621676832129475,0.26903490816639536,0.9776514781934443,0.9858868964242347,1.0,0.9278738100271021,-0.8161331242349933,0.9278738100271025
n_conexiones,-0.9387849434835367,0.002611347529215598,-0.060458251529432044,0.9057488722360237,0.9597331913058169,0.9278738100271021,1.0,-0.8712783831461571,0.9999999999999997
coef_variacion,0.9814593237262421,0.0873783120604256,0.06933190775295707,-0.8619145026553703,-0.8019197391297133,-0.8161331242349933,-0.8712783831461571,1.0,-0.8712783831461569
densidad_relativa,-0.9387849434835369,0.00261134752921578,-0.060458251529431885,0.905748872236024,0.9597331913058166,0.9278738100271025,0.9999999999999997,-0.8712783831461569,1.0
