,fa_threshold,turning_angle,track_voxel_ratio,n_tractos_reales,media_conectividad,desviacion_tipica,n_conexiones,coef_variacion,densidad_relativa
fa_threshold,1.0,0.10498874076626326,0.08753181974535673,-0.923719657400882,-0.9761098708664863,-0.9230473723518275,-0.997286849911703,0.9981512164033445,-0.997286849911703
turning_angle,0.10498874076626326,1.0,0.2499279550720486,-0.021530705680508914,0.01927190396849124,0.11048904544529016,-0.06146824233341719,0.07776045042648086,-0.06146824233341719
track_voxel_ratio,0.08753181974535673,0.2499279550720486,1.0,0.287731435518148,0.10032898828199152,0.25742622172880547,-0.07333765682460558,0.07050404729438178,-0.07333765682460558
n_tractos_reales,-0.923719657400882,-0.021530705680508914,0.287731435518148,1.0,0.9733973589435775,0.9835774309723889,0.9275870348139256,-0.9289315726290516,0.9275870348139256
media_conectividad,-0.9761098708664863,0.01927190396849124,0.10032898828199152,0.9733973589435775,1.0,0.9799279711884754,0.9806962785114045,-0.9806962785114045,0.9806962785114045
desviacion_tipica,-0.9230473723518275,0.11048904544529016,0.25742622172880547,0.9835774309723889,0.9799279711884754,1.0,0.9310444177671069,-0.9294117647058824,0.9310444177671069
n_conexiones,-0.997286849911703,-0.06146824233341719,-0.07333765682460558,0.9275870348139256,0.9806962785114045,0.9310444177671069,1.0,-0.9983673469387755,1.0
coef_variacion,0.9981512164033445,0.07776045042648086,0.07050404729438178,-0.9289315726290516,-0.9806962785114045,-0.9294117647058824,-0.9983673469387755,1.0,-0.9983673469387755
densidad_relativa,-0.997286849911703,-0.06146824233341719,-0.07333765682460558,0.9275870348139256,0.9806962785114045,0.9310444177671069,1.0,-0.9983673469387755,1.0
