Método,Input,Output,Intercepto,Pendiente,R2,p-value
SRS,fa_threshold,media_conectividad,14.597471031295663,-62.37902373268301,0.8520441973148193,1.4979546455639223e-21
SRS,fa_threshold,n_tractos_reales,837878.3119064146,-3018107.716744567,0.8217698651338939,1.3285107583880106e-19
SRS,track_voxel_ratio,n_tractos_reales,48807.18718768834,141698.70518146225,0.10420002852984411,0.022231119480230564
LHS,fa_threshold,media_conectividad,13.860214386374658,-61.79534686074219,0.7498759495269474,4.725430217669628e-16
LHS,fa_threshold,n_tractos_reales,843599.0699719035,-3074364.3291096627,0.8033772637758885,1.4180971673890308e-18
LHS,track_voxel_ratio,n_tractos_reales,59135.92538781211,144103.14391122392,0.09718885764198792,0.027531073748996694
