,fa_threshold,turning_angle,track_voxel_ratio,n_tractos_reales,media_conectividad,desviacion_tipica,n_conexiones,coef_variacion,densidad_relativa
fa_threshold,1.0,-0.014882615326350601,0.04646011412534316,-0.9065152316061178,-0.9230624016364327,-0.9109909290640826,-0.9643971825559969,0.9881489075372922,-0.9643971825559966
turning_angle,-0.014882615326350601,1.0,-0.07165658944102118,-0.06837329112794585,0.07505364401639113,0.09619049982997323,0.04936929061976445,-0.08108511963273546,0.04936929061976476
track_voxel_ratio,0.04646011412534316,-0.07165658944102118,1.0,0.3228002920225506,0.09344194130038848,0.245350945597653,-0.09849569753841961,0.027931277105803464,-0.09849569753841964
n_tractos_reales,-0.9065152316061178,-0.06837329112794585,0.3228002920225506,1.0,0.9372549389321774,0.9733116345473419,0.8714626050611234,-0.8888236499043821,0.8714626050611236
media_conectividad,-0.9230624016364327,0.07505364401639113,0.09344194130038848,0.9372549389321774,1.0,0.982572714722434,0.9602198530549617,-0.8893066744656914,0.960219853054962
desviacion_tipica,-0.9109909290640826,0.09619049982997323,0.245350945597653,0.9733116345473419,0.982572714722434,1.0,0.9164115006045531,-0.8924667211613357,0.9164115006045536
n_conexiones,-0.9643971825559969,0.04936929061976445,-0.09849569753841961,0.8714626050611234,0.9602198530549617,0.9164115006045531,1.0,-0.9253551858704295,1.0
coef_variacion,0.9881489075372922,-0.08108511963273546,0.027931277105803464,-0.8888236499043821,-0.8893066744656914,-0.8924667211613357,-0.9253551858704295,1.0,-0.9253551858704298
densidad_relativa,-0.9643971825559966,0.04936929061976476,-0.09849569753841964,0.8714626050611236,0.960219853054962,0.9164115006045536,1.0,-0.9253551858704298,1.0
